title,status,category,tags,release_date,price,is_free,platforms,publisher,developer,description,review_summary,deal_name,deal_expiry,image_url,store_url
PUBG: BATTLEGROUNDS,,,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth","21 Dec, 2017",Free,True,,"KRAFTON, Inc.",PUBG Corporation,"PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last.","69% of the 14,331 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/14f42ab797699a9c9f137fda66582d8776da4330/capsule_231x87.jpg?t=1758255634,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1
Europa Universalis V,,,"Resource Management, 4X, Grand Strategy, Trading, Strategy, Historical, Multiplayer, Simulation, Alternate History, Wargame, Immersive Sim, Diplomacy, Economy, 3D, Realistic, Cinematic, Singleplayer, Building, War, Choices Matter","4 Nov, 2025","₹3,259.00",False,,Paradox Interactive,Paradox Tinto,"Use war, trade or diplomacy to satisfy your grandest ambitions and dominate five centuries of history in the newest version of Europa Universalis, Paradox Interactive's flagship historical grand strategy game.","77% of the 1,695 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3450310/235bf861418bfd8c79db616b6da7d70e08891f64/capsule_231x87_alt_assets_0.jpg?t=1762296010,https://store.steampowered.com/app/3450310/Europa_Universalis_V/?snr=1_7_7_7000_150_1
ARC Raiders,,,"Extraction Shooter, PvP, PvE, Third-Person Shooter, Multiplayer, Post-apocalyptic, Online Co-Op, Shooter, Survival, Sci-fi, Atmospheric, Crafting, Action, Inventory Management, Third Person, Open World, Futuristic, Combat, Realistic, Character Customization","30 Oct, 2025","₹2,467.00",False,,Embark Studios,Embark Studios,"ARC Raiders is a multiplayer extraction adventure, set in a lethal future earth, ravaged by a mysterious mechanized threat known as ARC.","90% of the 30,400 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1808500/542a243d39bd7ed791359be9e96c82f419b81475/capsule_231x87.jpg?t=1761855189,https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1
Counter-Strike 2,,,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable","21 Aug, 2012",Free,True,,Valve,Valve,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","81% of the 83,875 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/capsule_231x87.jpg?t=1749053861,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1
Apex Legends™,,,"Free to Play, Multiplayer, Battle Royale, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Loot, Survival, Co-op, Character Customization, Funny, Lore-Rich, Cyberpunk, Cinematic","4 Nov, 2020",Free,True,,Electronic Arts,Respawn,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","66% of the 4,652 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172470/33d4b71b2b9c8eb837b7ea5f6c5d12ca3501ea27/capsule_231x87.jpg?t=1762344569,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1
Battlefield™ 6,,,"FPS, Multiplayer, Action, Singleplayer, Military, War, Shooter, Modern, Epic, Realistic, Combat, Tactical, Battle Royale, Destruction, PvP, Violent, Atmospheric, Co-op, Sandbox, Story Rich","10 Oct, 2025","₹3,999.00",False,,Electronic Arts,Battlefield Studios,"The ultimate all-out warfare experience. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon.","72% of the 89,112 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2807960/d7ae078e0a543a97ff5a5d72165999535b0b1cdc/capsule_231x87.jpg?t=1762193857,https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_7000_150_1
Football Manager 26,,,"Simulation, Sports, Strategy, Football (Soccer), Multiplayer, Singleplayer, Management, Psychological Horror","4 Nov, 2025","₹4,499.00",False,,SEGA,Sports Interactive,Step into the dugout and experience the future of football management.,"23% of the 2,138 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3551340/89a157ed8100b4c8fa49de9fda0b3a83aece1f5e/capsule_231x87.jpg?t=1762339168,https://store.steampowered.com/app/3551340/Football_Manager_26/?snr=1_7_7_7000_150_1
Dispatch,,,"Choices Matter, Story Rich, Nudity, Sexual Content, Superhero, Singleplayer, Strategy, Comedy, Choose Your Own Adventure, Action, Romance, Funny, Episodic, Point & Click, Cinematic, Comic Book, Indie, Adventure, Soundtrack, LGBTQ+","22 Oct, 2025","₹1,300.00",False,,AdHoc Studio,AdHoc Studio,"Dispatch is a superhero workplace comedy where choices matter. Manage a dysfunctional team of misfit heroes and strategize who to send to emergencies around the city, all while balancing office politics, personal relationships, and your own quest to become a hero. Episodes 1 - 4 out now.","93% of the 14,068 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2592160/925ffa7e3699d5c9c1369be5d4c3369f0e907e00/capsule_231x87.jpg?t=1761753863,https://store.steampowered.com/app/2592160/Dispatch/?snr=1_7_7_7000_150_1
Steam Deck,,,,"17 Jan, 2025",,,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1675200/capsule_231x87.jpg?t=1758925710,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1
RV There Yet?,,,"Multiplayer, Co-op, Funny, Adventure, Online Co-Op, Physics, First-Person, Exploration, Driving, 3D, Atmospheric, Offroad, Indie, Casual, Stylized, Character Customization, Action, Psychological Horror, Singleplayer, Horror","21 Oct, 2025",₹400.00,False,,Nuggets Entertainment,Nuggets Entertainment,A co-op adventure about driving your Recreational Vehicle home.,"86% of the 9,299 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3949040/05b77bc86d227612ded8e54753063e43c44698c4/capsule_231x87.jpg?t=1761681404,https://store.steampowered.com/app/3949040/RV_There_Yet/?snr=1_7_7_7000_150_1
